Applicant Id,Applicant Name,CGPA,GRE,TOEFL,IELTS,Research,Degree_ID,Universities Applied,CID
100056,Beverly,7.7,320,103,8,0,DL3,3,CU7
100057,Geraldine,7.4,316,102,7.5,0,DL1,3,CU21
100058,Ann,7.6,298,99,8.5,0,DL1,2,CU41
100059,Jane,6.8,300,99,6.5,1,DL3,1,CU42
100060,Sarah,8.3,311,104,7.5,0,DL1,2,CU13
100061,Audrey,8.1,309,100,6.5,0,DL3,2,CU43
100062,Clara,8.2,307,101,9,0,DL1,3,CU40
100063,Esther,8.2,304,105,6,1,DL3,2,CU37
100064,Emma,8.5,315,107,8.5,1,DL3,2,CU44
100065,Wanda,8.7,325,111,6.5,0,DL3,3,CU29
100066,Beatrice,8.92,325,112,8,0,DL1,4,CU45
100067,Wilma,9.02,327,114,8,0,DL3,3,CU29
100068,Elaine,8.64,316,107,8.5,1,DL2,2,CU46
100069,Donna,9.22,318,109,6,1,DL1,3,CU47
100070,Willie,9.16,328,115,9,1,DL2,4,CU48
100071,Elsie,9.64,332,118,6,1,DL3,5,CU22
100072,Katherine,9.76,336,112,8,1,DL2,5,CU12
100073,Marian,9.45,321,111,6.5,1,DL1,5,CU27
100074,Charlotte,9.04,314,108,7.5,1,DL1,4,CU24
100075,Julia,8.9,314,106,6,0,DL1,3,CU10
100076,Vivian,8.56,329,114,6,1,DL2,2,CU35
100077,Gertrude,8.72,327,112,6,1,DL2,3,CU49
100078,Eva,8.22,301,99,8.5,0,DL3,2,CU10
100079,Bertha,7.54,296,95,9,1,DL2,2,CU43
100080,Agnes,7.36,294,93,8.5,0,DL1,1,CU50
100081,Laura,8.02,312,105,6,1,DL3,3,CU31
100082,Kathleen,9.5,340,120,7.5,1,DL1,4,CU45
100083,Ida,9.22,320,110,7,1,DL3,5,CU51
100084,Jeanne,9.36,322,115,7.5,1,DL1,5,CU36
100085,Rosemary,9.45,340,115,8,1,DL3,5,CU52
100086,Maxine,8.66,319,103,6.5,0,DL3,4,CU53
100087,Bessie,8.42,315,106,7.5,0,DL1,3,CU54
100088,Vera,8.28,317,107,9,0,DL2,2,CU55
100089,Kathryn,8.14,314,108,9,0,DL2,3,CU56
100090,Anne,8.76,316,109,7,1,DL1,4,CU7
100091,Eileen,7.92,318,106,8,1,DL2,2,CU54
100092,Ellen,7.66,299,97,8,0,DL3,3,CU9
100093,Lillie,8.03,298,98,9,0,DL3,2,CU57
100094,Jessie,7.88,301,97,8,1,DL2,2,CU15
100095,Peggy,7.66,303,99,7,0,DL1,3,CU52
100096,Alma,7.84,304,100,9,0,DL3,4,CU13
100097,Ella,8,306,100,9,0,DL1,2,CU17
100098,Carolyn,8.96,331,120,6.5,1,DL2,3,CU58
100099,Bonnie,9.24,332,119,6.5,1,DL2,4,CU26
1000100,Viola,8.88,323,113,9,1,DL1,3,CU35
1000101,Pearl,8.46,322,107,8.5,1,DL3,3,CU59
1000102,Violet,8.12,312,105,8.5,0,DL1,2,CU21
1000103,Margie,8.25,314,106,9,0,DL2,2,CU31
1000104,Nellie,8.47,317,104,8,0,DL1,2,CU16
1000105,Carol,9.05,326,112,6.5,1,DL1,3,CU60
1000106,Maria,8.78,316,110,7.5,1,DL2,3,CU61
1000107,Arlene,9.18,329,111,6.5,1,DL3,4,CU42
1000108,Billie,9.46,338,117,7,1,DL1,4,CU9
1000109,Myrtle,9.38,331,116,8,1,DL2,5,CU62
1000110,Janet,8.64,304,103,8,0,DL3,5,CU63
1000111,Lucy,8.48,305,108,6.5,0,DL2,5,CU64
1000112,Mattie,8.68,321,109,7,1,DL2,4,CU35
1000113,Minnie,8.34,301,107,8.5,1,DL2,3,CU65
1000114,Jacqueline,8.56,320,110,7,0,DL3,2,CU25
1000115,Sylvia,8.45,311,105,7,1,DL2,3,CU12
1000116,Christine,9.04,310,106,9,1,DL1,4,CU66
1000117,Velma,8.62,299,102,8.5,0,DL2,3,CU13
1000118,Geneva,7.46,290,104,7.5,0,DL1,4,CU67
1000119,Georgia,7.28,296,99,8,0,DL3,2,CU26
1000120,Leona,8.84,327,104,9,1,DL2,5,CU68
1000121,Roberta,9.56,335,117,8,1,DL2,5,CU69
1000122,Stella,9.48,334,119,7.5,1,DL1,5,CU70
1000123,Rosa,8.36,310,106,8,0,DL1,4,CU71
1000124,Mae,8.22,308,108,6.5,0,DL3,3,CU24
1000125,Genevieve,8.47,301,106,6.5,0,DL2,4,CU52
1000126,Loretta,8.66,300,100,6.5,1,DL3,3,CU65
1000127,Delores,9.32,323,113,6.5,1,DL2,3,CU11
1000128,Sara,8.71,319,112,7,1,DL2,3,CU38
1000129,Lena,9.1,326,112,6,1,DL1,3,CU51
1000130,Jeanette,9.35,333,118,8,1,DL1,5,CU2
1000131,Harriet,9.76,339,114,8.5,1,DL1,5,CU21
1000132,Mabel,8.65,303,105,6.5,0,DL2,5,CU54
1000133,Eunice,8.56,309,105,9,0,DL1,5,CU72
1000134,Jennie,8.78,323,112,7.5,0,DL1,5,CU16
1000135,Claire,9.28,333,113,7,1,DL2,5,CU28
1000136,Naomi,8.77,314,109,7.5,1,DL2,4,CU73
1000137,Muriel,8.45,312,103,6.5,0,DL2,3,CU3
1000138,Dora,8.16,316,100,6.5,1,DL2,2,CU74
1000139,Carrie,9.08,326,116,8.5,1,DL3,2,CU67
1000140,Opal,9.12,318,109,8,0,DL3,1,CU55
1000141,Alberta,9.15,329,110,8,1,DL2,2,CU75
1000142,Marguerite,9.36,332,118,6,1,DL1,2,CU38
1000143,Hilda,9.44,331,115,8.5,1,DL1,5,CU13
1000144,Beulah,9.92,340,120,7,1,DL1,4,CU38
1000145,Emily,8.96,325,112,8.5,1,DL3,2,CU9
1000146,Sally,8.64,320,113,9,1,DL3,2,CU28
1000147,Anita,8.48,315,105,8.5,0,DL3,3,CU44
1000148,Inez,9.11,326,114,6.5,1,DL3,3,CU76
1000149,Lula,9.8,339,116,6.5,1,DL2,4,CU77
1000150,Blanche,8.26,311,106,9,1,DL2,2,CU78
1000151,Rosie,9.43,334,114,8.5,1,DL3,4,CU79
1000152,Verna,9.28,332,116,6,1,DL2,5,CU19
1000153,Lola,9.06,321,112,6,1,DL1,5,CU13
1000154,Constance,8.75,324,105,8,0,DL3,3,CU60
1000155,Hattie,8.89,326,108,6,0,DL2,3,CU63
1000156,Imogene,8.69,312,109,6,0,DL3,3,CU80
1000157,Cora,8.34,315,105,9,0,DL2,3,CU45
1000158,Janice,8.26,309,104,8.5,0,DL3,2,CU65
1000159,Fannie,8.14,306,106,8.5,0,DL1,2,CU15
1000160,Erma,7.9,297,100,6,0,DL2,1,CU32
1000161,Miriam,7.86,315,103,7.5,0,DL1,1,CU28
1000162,Madeline,7.46,298,99,9,0,DL2,1,CU5
1000163,Mamie,8.5,318,109,6,0,DL3,3,CU31
1000164,Ada,8.56,317,105,7,0,DL2,3,CU18
1000165,Laverne,9.01,329,111,8,1,DL3,4,CU46
1000166,Flora,8.97,322,110,9,0,DL2,5,CU55
1000167,Patsy,8.33,302,102,6,0,DL2,3,CU56
1000168,Rachel,8.27,313,102,7.5,0,DL3,3,CU78
1000169,Rebecca,7.8,293,97,7,1,DL3,2,CU49
1000170,Mable,7.98,311,99,6,0,DL1,2,CU24
1000171,Daisy,8.04,312,101,8,1,DL3,2,CU24
1000172,Estelle,9.07,334,117,9,1,DL2,5,CU57
1000173,Teresa,9.13,322,110,8,1,DL2,4,CU46
1000174,Bette,9.23,323,113,7,1,DL1,4,CU67
1000175,Eula,8.97,321,111,8.5,1,DL1,4,CU33
1000176,Rosalie,8.87,320,111,7.5,1,DL2,4,CU29
1000177,Irma,9.16,329,119,8.5,1,DL2,4,CU57
1000178,Caroline,9.04,319,110,8,0,DL2,3,CU10
1000179,Eloise,8.12,309,108,9,0,DL1,3,CU8
1000180,Joanne,8.27,307,102,9,0,DL1,3,CU81
1000181,Marcella,8.16,300,104,8,0,DL2,3,CU7
1000182,Joy,8.42,305,107,9,0,DL3,2,CU38
1000183,Susie,7.88,299,100,7.5,0,DL3,2,CU27
1000184,Darlene,8.8,314,110,7,0,DL3,3,CU82
1000185,Olga,8.32,316,106,7.5,0,DL1,2,CU37
1000186,Faye,9.11,327,113,6.5,1,DL2,4,CU11
1000187,Maggie,8.68,317,107,8.5,1,DL2,3,CU55
1000188,Nora,9.44,335,118,8.5,1,DL2,5,CU59
1000189,Bettie,9.36,331,115,7,1,DL2,5,CU50
1000190,Johnnie,9.08,324,112,6.5,1,DL2,5,CU12
1000191,Colleen,9.16,324,111,7.5,1,DL1,5,CU45
1000192,Lila,8.98,323,110,8.5,1,DL1,5,CU68
1000193,Bobbie,8.94,322,114,8.5,1,DL1,5,CU53
1000194,Nina,9.53,336,118,9,1,DL3,5,CU11
1000195,Antoinette,8.76,316,109,8,0,DL1,3,CU64
1000196,Ernestine,8.52,307,107,9,1,DL2,2,CU52
1000197,Iris,8.26,306,105,8.5,0,DL2,2,CU21
1000198,Carmen,8.33,310,106,9,0,DL3,2,CU1
1000199,Yvonne,8.43,311,104,7,0,DL2,3,CU82
1000200,Winifred,8.69,313,107,7.5,0,DL1,3,CU18
1000201,Lorene,8.54,317,103,6.5,1,DL3,3,CU39
1000202,Jo,8.46,315,110,7.5,1,DL3,2,CU47
1000203,Gwendolyn,9.91,340,120,7,1,DL2,5,CU51
1000204,Regina,9.87,334,120,7,1,DL3,5,CU83
1000205,Victoria,8.54,298,105,8,0,DL3,3,CU55
1000206,Della,7.65,295,99,9,0,DL1,2,CU34
1000207,Sadie,7.89,315,99,7,0,DL1,2,CU84
1000208,Jeannette,8.02,310,102,8.5,1,DL3,3,CU67
1000209,Angelina,8.16,305,106,7,0,DL3,2,CU85
1000210,Henrietta,8.12,301,104,7.5,1,DL2,3,CU57
1000211,Priscilla,9.06,325,108,8,1,DL3,4,CU45
1000212,Melba,9.14,328,110,8,1,DL2,4,CU58
1000213,Katie,9.66,338,120,7.5,1,DL3,4,CU16
1000214,Sophie,9.78,333,119,6,1,DL1,5,CU24
1000215,Olive,9.42,331,117,8,1,DL3,4,CU57
1000216,Lydia,9.36,330,116,9,1,DL1,5,CU56
1000217,Susan,9.26,322,112,6.5,1,DL3,4,CU49
1000218,Fern,9.13,321,109,8.5,1,DL2,4,CU14
1000219,Therese,8.97,324,110,7.5,1,DL1,4,CU52
1000220,Charlene,8.42,312,104,6.5,0,DL1,3,CU72
1000221,Freda,8.75,313,103,7.5,0,DL3,3,CU60
1000222,Adeline,8.56,316,110,6.5,0,DL2,3,CU68
1000223,Rosemarie,8.79,324,113,8.5,0,DL2,4,CU86
1000224,Ora,8.45,308,109,6,0,DL1,2,CU81
1000225,Joann,8.23,305,105,8,0,DL1,2,CU28
1000226,Essie,8.03,296,99,9,0,DL2,2,CU13
1000227,Annette,8.45,306,110,8.5,0,DL1,2,CU15
1000228,Nadine,8.53,312,110,6.5,0,DL2,2,CU79
1000229,Ollie,8.67,318,112,7,0,DL2,3,CU87
1000230,Veronica,9.01,324,111,8,1,DL3,4,CU32
1000231,Jewel,8.65,313,104,6,0,DL3,3,CU81
1000232,Nettie,8.33,319,106,9,1,DL1,3,CU88
1000233,Lottie,8.27,312,107,7.5,0,DL3,2,CU60
1000234,Amelia,8.07,304,100,7,0,DL3,2,CU77
1000235,May,9.31,330,113,8,1,DL2,5,CU6
1000236,Connie,9.23,326,111,6.5,1,DL2,5,CU62
1000237,Jewell,9.17,325,112,9,1,DL2,4,CU80
1000238,Isabel,9.19,329,114,6,1,DL2,5,CU89
1000239,Janie,8.37,310,104,6,0,DL2,3,CU12
1000240,Reba,7.89,299,100,8,0,DL3,1,CU78
1000241,Luella,7.68,296,101,8,0,DL3,1,CU5
1000242,Lucile,8.15,317,103,8,0,DL1,2,CU43
1000243,Adele,8.76,324,115,6,1,DL1,3,CU45
1000244,Dorothea,9.04,325,114,7,1,DL2,3,CU90
1000245,Addie,8.56,314,107,8.5,0,DL3,2,CU11
1000246,Iva,9.02,328,110,6,1,DL2,4,CU66
1000247,Dorthy,8.73,316,105,9,0,DL2,3,CU24
1000248,Angeline,8.48,311,104,9,0,DL2,2,CU56
1000249,Lela,8.87,324,110,9,1,DL3,3,CU4
1000250,Sue,8.83,321,111,8.5,1,DL2,3,CU40
1000251,Bettye,8.57,320,104,6.5,1,DL3,3,CU39
1000252,Selma,9,316,99,7,0,DL1,2,CU35
1000253,Fay,8.54,318,100,8,1,DL1,2,CU64
1000254,Goldie,9.68,335,115,7,1,DL2,4,CU59
1000255,Cleo,9.12,321,114,6,0,DL3,4,CU67
1000256,Natalie,8.37,307,110,6.5,0,DL2,4,CU2
1000257,Cecilia,8.56,309,99,6,0,DL1,3,CU71
1000258,Sallie,8.64,324,100,7,1,DL3,3,CU4
1000259,Etta,8.76,326,102,6,1,DL1,4,CU18
1000260,Lenora,9.34,331,119,8,1,DL1,4,CU78
1000261,Leola,9.13,327,108,7.5,1,DL3,5,CU39
1000262,Ola,8.09,312,104,6.5,0,DL2,3,CU91
1000263,Ina,8.36,308,103,6,1,DL2,2,CU23
1000264,Cecelia,8.79,324,111,6.5,1,DL2,3,CU22
1000265,Judith,8.76,325,110,8.5,1,DL1,2,CU51
1000266,Celia,8.68,313,102,6,0,DL1,3,CU51
1000267,Corinne,8.45,312,105,6,0,DL3,2,CU17
1000268,Elinor,8.17,314,107,6.5,1,DL3,3,CU63
1000269,Mavis,9.14,327,113,6.5,0,DL2,4,CU20
1000270,Angela,8.34,308,108,7,0,DL2,4,CU66
1000271,Paula,8.22,306,105,9,1,DL1,2,CU92
1000272,Effie,7.86,299,96,8.5,0,DL1,2,CU28
1000273,Clarice,7.64,294,95,8.5,0,DL2,1,CU50
1000274,Isabelle,8.01,312,99,6,1,DL1,1,CU64
1000275,Annabelle,7.95,315,100,8,0,DL3,1,CU65
1000276,Ramona,8.96,322,110,6.5,1,DL2,3,CU66
1000277,Willa,9.45,329,113,8.5,1,DL1,5,CU50
1000278,Francis,8.62,320,101,9,0,DL3,2,CU51
1000279,Jimmie,8.49,308,103,8.5,0,DL1,2,CU21
1000280,Alta,8.73,304,102,6,0,DL2,2,CU88
1000281,Lizzie,8.64,311,102,7,1,DL1,3,CU78
1000282,Nell,9.11,317,110,6,1,DL3,3,CU12
1000283,Deloris,8.79,312,106,6,1,DL2,3,CU77
1000284,Elva,8.9,321,111,8,1,DL3,3,CU92
1000285,Estella,9.66,340,112,9,1,DL3,4,CU65
1000286,Marcia,9.26,331,116,8.5,1,DL3,5,CU83
1000287,Eleanore,9.19,336,118,8,1,DL2,5,CU67
1000288,Myra,9.08,324,114,6.5,1,DL2,5,CU33
1000289,Arline,9.02,314,104,7,0,DL1,4,CU35
1000290,Ila,9,313,109,6,0,DL1,3,CU35
1000291,Carmela,7.65,307,105,7,0,DL1,2,CU57
1000292,Elvira,7.87,300,102,6.5,0,DL3,2,CU18
1000293,Bernadine,7.97,302,99,7,0,DL1,2,CU1
1000294,Linda,8.18,312,98,8,1,DL1,1,CU57
1000295,Suzanne,8.32,316,101,7.5,1,DL2,2,CU91
1000296,Frankie,8.57,317,100,6.5,0,DL3,2,CU59
1000297,Helene,8.67,310,107,8,0,DL1,3,CU30
1000298,Olivia,9.11,320,120,7,0,DL2,3,CU55
1000299,Carmella,9.24,330,114,8,1,DL1,3,CU39
1000300,Virgie,8.65,305,112,7.5,0,DL2,3,CU18
1000301,Lee,8,309,106,6,0,DL1,2,CU62
1000302,Gracie,8.76,319,108,6.5,0,DL3,2,CU88
1000303,Lou,8.45,322,105,6,1,DL1,2,CU71
1000304,Jacquelyn,8.55,323,107,9,1,DL3,3,CU60
1000305,Elnora,8.43,313,106,6.5,0,DL1,2,CU10
1000306,Earline,8.8,321,109,7,1,DL1,3,CU58
1000307,Elma,9.1,323,110,6,1,DL2,3,CU59
1000308,Aileen,9,325,112,8,1,DL3,4,CU48
1000309,Eugenia,8.53,312,108,6,0,DL3,3,CU6
1000310,Lenore,8.6,308,110,8.5,0,DL1,4,CU61
1000311,Nannie,8.74,320,104,8.5,1,DL1,3,CU20
1000312,Rosetta,9.18,328,108,7.5,1,DL3,4,CU23
1000313,Rhoda,9,311,107,8,1,DL1,4,CU33
1000314,Jackie,8.04,301,100,8.5,0,DL1,3,CU26
1000315,Amy,8.13,305,105,9,0,DL3,2,CU8
1000316,Lupe,8.07,308,104,7,0,DL2,2,CU58
1000317,John,7.86,298,101,7.5,0,DL3,2,CU93
1000318,Patty,8.01,300,99,8,0,DL2,1,CU25
1000319,Nelda,8.8,324,111,7,1,DL2,3,CU83
1000320,Sybil,8.69,327,113,6,1,DL3,4,CU59
1000321,Margery,8.5,317,106,6,1,DL2,3,CU45
1000322,Cynthia,8.44,323,104,8,1,DL3,3,CU60
1000323,Rena,8.27,314,107,8.5,0,DL2,2,CU14
1000324,Glenna,8.18,305,102,7,0,DL2,2,CU81
1000325,Ruthie,8.33,315,104,7,0,DL3,3,CU21
1000326,Neva,9.14,326,116,6.5,1,DL2,3,CU39
1000327,Matilda,8.02,299,100,8,0,DL2,3,CU14
1000328,Flossie,7.86,295,101,7,0,DL1,2,CU73
1000329,Guadalupe,8.77,324,112,7.5,1,DL1,4,CU23
1000330,Frieda,7.89,297,96,7.5,0,DL2,2,CU82
1000331,Robert,8.66,327,113,7,1,DL3,3,CU11
1000332,Josie,8.12,311,105,7.5,1,DL3,2,CU29
1000333,Pat,8.21,308,106,9,1,DL1,3,CU4
1000334,Winnie,8.54,319,108,6,1,DL2,3,CU21
1000335,Harriett,8.65,312,107,8.5,1,DL3,4,CU36
1000336,Rosella,9.11,325,111,8.5,1,DL2,4,CU64
1000337,James,8.79,319,110,9,0,DL1,3,CU46
1000338,Wilda,9.47,332,118,8.5,1,DL3,5,CU39
1000339,Zelma,8.74,323,108,6,1,DL3,5,CU60
1000340,Cornelia,8.66,324,107,6,1,DL3,5,CU35
1000341,Loraine,8.46,312,107,8,1,DL3,3,CU91
1000342,Yolanda,8.76,326,110,6,1,DL3,3,CU22
1000343,Dollie,8.24,308,106,8,0,DL3,3,CU11
1000344,Dona,8.13,305,103,9,0,DL1,2,CU91
1000345,Mona,7.34,295,96,8.5,0,DL1,2,CU62
1000346,Avis,7.43,316,98,8,0,DL3,1,CU64
1000347,Bernadette,7.64,304,97,7,0,DL1,2,CU68
1000348,Dixie,7.34,299,94,6.5,0,DL3,1,CU53
1000349,Cecile,7.25,302,99,8.5,0,DL1,1,CU37
1000350,Leatrice,8.04,313,101,6.5,0,DL2,3,CU57
1000351,Mollie,8.27,318,107,7.5,1,DL2,3,CU49
1000352,Eddie,8.67,325,110,7,1,DL1,4,CU16
1000353,Concetta,8.06,303,100,9,1,DL1,2,CU5
1000354,Lily,8.17,300,102,7.5,0,DL3,3,CU89
1000355,Pearlie,7.67,297,98,7,0,DL3,2,CU74
1000356,Claudia,8.12,317,106,9,0,DL3,2,CU41
1000357,Nola,8.77,327,109,9,1,DL1,3,CU94
1000358,Aurora,7.89,301,104,9,1,DL2,2,CU11
1000359,Odessa,7.64,314,105,9,0,DL1,2,CU41
1000360,Renee,8.44,321,107,7,0,DL3,2,CU6
1000361,Consuelo,8.64,322,110,6.5,1,DL2,3,CU59
1000362,Robbie,9.54,334,116,8.5,1,DL2,4,CU58
1000363,Diana,9.23,338,115,6.5,1,DL3,5,CU38
1000364,Corrine,8.36,306,103,7,0,DL1,2,CU85
1000365,Dolly,8.9,313,102,7.5,1,DL1,3,CU67
1000366,Hannah,9.17,330,114,7,1,DL3,4,CU61
1000367,Maude,8.34,320,104,7,1,DL1,3,CU7
1000368,Tommie,7.46,311,98,6,0,DL2,1,CU86
1000369,Leah,7.88,298,92,8.5,0,DL2,1,CU37
1000370,Lora,8.03,301,98,8.5,1,DL3,1,CU70
1000371,Christina,8.24,310,103,8.5,0,DL1,2,CU11
1000372,Hope,9.22,324,110,9,1,DL3,3,CU88
1000373,Antonia,9.62,336,119,7,1,DL3,4,CU47
1000374,Millie,8.54,321,109,7,1,DL2,3,CU37
1000375,Polly,7.65,315,105,7,0,DL2,2,CU45
1000376,Allie,7.66,304,101,7.5,0,DL2,2,CU8
1000377,Alyce,7.43,297,96,8.5,0,DL2,2,CU5
1000378,Ilene,7.56,290,100,7.5,0,DL3,1,CU82
1000379,Letha,7.65,303,98,8.5,0,DL1,1,CU95
1000380,Gilda,8.43,311,99,7,1,DL1,1,CU11
1000381,William,8.84,322,104,7.5,1,DL3,3,CU96
1000382,Lorna,8.67,319,105,9,1,DL1,3,CU24
1000383,Lavonne,9.15,324,110,6,1,DL2,4,CU64
1000384,Aline,8.26,300,100,8,0,DL3,3,CU9
1000385,Merle,9.74,340,113,8,1,DL2,4,CU42
1000386,Ophelia,9.82,335,117,9,1,DL2,5,CU50
1000387,Beth,7.96,302,101,9,0,DL1,2,CU10
1000388,Alicia,8.1,307,105,6,0,DL2,2,CU33
1000389,Maryann,7.8,296,97,7.5,0,DL3,2,CU65
1000390,Earnestine,8.44,320,108,6.5,1,DL1,3,CU40
1000391,Reva,8.24,314,102,9,0,DL3,2,CU43
1000392,Leila,8.65,318,106,8,0,DL3,3,CU76
1000393,Margarita,9.12,326,112,7,1,DL2,4,CU65
1000394,Charles,8.76,317,104,7,0,DL1,2,CU33
1000395,Corine,9.23,329,111,8.5,1,DL1,4,CU71
1000396,Roslyn,9.04,324,110,8.5,1,DL1,3,CU92
1000397,Iona,9.11,325,107,6,1,DL3,3,CU8
1000398,Judy,9.45,330,116,8.5,1,DL2,4,CU89
1000399,Delia,8.78,312,103,8.5,0,DL3,3,CU45
1000400,Edythe,9.66,333,117,7.5,1,DL1,4,CU79
1000401,Mercedes,9.65,337,118,7,1,DL2,4,CU37
1000402,Helena,8.87,324,107,8.5,1,DL2,4,CU94
1000403,Eliza,8,316,104,9,1,DL2,3,CU96
1000404,Berniece,8.67,322,110,8,1,DL2,3,CU42
1000405,Melva,8.21,314,103,8.5,0,DL1,2,CU86
1000406,Betsy,9.34,330,115,7,1,DL2,5,CU16
1000407,Lilly,8.2,321,109,8,1,DL1,3,CU31
1000408,Adelaide,7.9,308,101,8.5,0,DL2,2,CU59
1000409,Marylou,8,302,102,6,0,DL3,1,CU92
1000410,Florine,8.6,323,108,8.5,0,DL1,3,CU67
1000411,Emogene,8.4,325,106,8,1,DL3,3,CU5
1000412,Lessie,9,327,111,9,1,DL2,4,CU42
1000413,Allene,9.1,328,112,6.5,1,DL3,4,CU57
1000414,Dorris,8,307,109,8.5,1,DL3,3,CU67
1000415,Evangeline,8.2,311,104,6,1,DL3,3,CU14
1000416,Madge,8.3,314,105,7,0,DL1,3,CU81
1000417,Beverley,8.7,317,107,8.5,0,DL1,3,CU30
1000418,Kay,8,319,106,6,1,DL2,3,CU47
1000419,Marianne,8.8,318,110,7.5,0,DL3,3,CU74
1000420,Philomena,8.5,303,102,7.5,0,DL2,3,CU14
1000421,Callie,7.9,312,107,9,1,DL1,3,CU70
1000422,Madelyn,8.4,325,114,8,0,DL1,4,CU89
1000423,Louella,9.5,328,116,7,1,DL3,5,CU8
1000424,Althea,9.7,334,119,6,1,DL1,5,CU8
1000425,Earlene,9.8,336,119,7.5,1,DL3,5,CU59
1000426,Queen,9.6,340,120,8.5,1,DL2,5,CU54
1000427,Hester,8.8,322,109,8.5,0,DL1,5,CU7
1000428,Nona,7.5,298,98,7.5,1,DL2,2,CU3
1000429,Lorena,7.2,295,93,6,0,DL1,1,CU21
1000430,Molly,7.3,310,99,7,0,DL2,2,CU58
1000431,Jannie,8.1,300,97,8.5,1,DL3,2,CU26
1000432,Jerry,8.3,327,103,6,1,DL2,3,CU97
1000433,Elouise,9.4,338,118,9,1,DL1,4,CU48
1000434,Millicent,9.6,340,114,6,1,DL3,5,CU65
1000435,George,9.8,331,112,9,1,DL3,5,CU67
1000436,Gene,9.2,320,110,8,1,DL2,5,CU47
1000437,Georgie,8.4,299,106,6,0,DL1,2,CU58
1000438,Maurine,7.8,300,105,8,0,DL1,1,CU64
1000439,Maureen,7.5,304,105,6.5,0,DL2,1,CU43
1000440,Elena,7.7,307,108,7,0,DL1,2,CU65
1000441,Johanna,8,308,110,6.5,1,DL1,3,CU3
1000442,Angie,8.2,316,105,9,1,DL2,2,CU18
1000443,Clare,8.5,313,107,8,1,DL2,2,CU55
1000444,Freddie,9.1,332,117,7,0,DL1,4,CU73
1000445,Lelia,9.4,326,113,9,1,DL2,5,CU18
