Applicant Id,Applicant Name,UID,CGPA,GRE,TOEFL,IELTS,Course Name,R_ID,Universities Applied,Degree_ID,CID,Status_ID
100015,Anna,1001013,8.2,311,104,6,Data Science,RP-1,3,DL1,CU36,S-2
100015,Anna,100107,8.2,311,104,6,Data Science,RP-1,3,DL1,CU37,S-1
100016,Alice,1001255,8.3,314,105,9,Data Science,RP-2,3,DL2,CU38,S-1
100016,Alice,100336,8.3,314,105,9,Data Science,RP-2,3,DL2,CU25,S-1
100016,Alice,1001289,8.3,314,105,9,Data Science,RP-2,3,DL2,CU39,S-2
100017,Patricia,1001260,8.7,317,107,7,Information Technology,RP-2,3,DL1,CU22,S-1
100017,Patricia,10028,8.7,317,107,7,Information Technology,RP-2,3,DL1,CU26,S-1
100017,Patricia,1001164,8.7,317,107,7,Information Technology,RP-2,3,DL1,CU40,S-2
100018,Lois,100748,8,319,106,6.5,Computer Science,RP-1,3,DL2,CU41,S-1
100018,Lois,100456,8,319,106,6.5,Computer Science,RP-1,3,DL2,CU42,S-1
100018,Lois,1001259,8,319,106,6.5,Computer Science,RP-1,3,DL2,CU38,S-1
100019,Marie,100443,8.8,318,110,7,Accounting,RP-2,3,DL2,CU43,S-1
100019,Marie,100297,8.8,318,110,7,Accounting,RP-2,3,DL2,CU42,S-1
100019,Marie,1001097,8.8,318,110,7,Accounting,RP-2,3,DL2,CU44,S-1
100020,Irene,1001226,8.5,303,102,7.5,Electrical Engineering,RP-2,3,DL1,CU13,S-1
100020,Irene,1001175,8.5,303,102,7.5,Electrical Engineering,RP-2,3,DL1,CU45,S-1
100020,Irene,1001209,8.5,303,102,7.5,Electrical Engineering,RP-2,3,DL1,CU33,S-2
100021,Gloria,1008,7.9,312,107,6.5,Environmental Science,RP-1,3,DL2,CU37,S-1
100021,Gloria,1001168,7.9,312,107,6.5,Environmental Science,RP-1,3,DL2,CU46,S-1
100021,Gloria,100559,7.9,312,107,6.5,Environmental Science,RP-1,3,DL2,CU41,S-2
100022,Rose,1001294,8.4,325,114,6,Project Management,RP-2,4,DL3,CU47,S-1
100022,Rose,100772,8.4,325,114,6,Project Management,RP-2,4,DL3,CU29,S-1
100022,Rose,100258,8.4,325,114,6,Project Management,RP-2,4,DL3,CU48,S-1
100022,Rose,100878,8.4,325,114,6,Project Management,RP-2,4,DL3,CU49,S-1
100023,Martha,1001070,9.5,328,116,8,Civil Engineering,RP-1,5,DL1,CU50,S-1
100023,Martha,100696,9.5,328,116,8,Civil Engineering,RP-1,5,DL1,CU34,S-1
100023,Martha,1001032,9.5,328,116,8,Civil Engineering,RP-1,5,DL1,CU19,S-1
100023,Martha,1001071,9.5,328,116,8,Civil Engineering,RP-1,5,DL1,CU51,S-1
100023,Martha,100600,9.5,328,116,8,Civil Engineering,RP-1,5,DL1,CU29,S-1
100024,Marjorie,1001008,9.7,334,119,8,Cost Accounting,RP-1,5,DL3,CU27,S-2
100024,Marjorie,100257,9.7,334,119,8,Cost Accounting,RP-1,5,DL3,CU23,S-2
100024,Marjorie,1001205,9.7,334,119,8,Cost Accounting,RP-1,5,DL3,CU11,S-1
100024,Marjorie,1001187,9.7,334,119,8,Cost Accounting,RP-1,5,DL3,CU51,S-1
100024,Marjorie,100189,9.7,334,119,8,Cost Accounting,RP-1,5,DL3,CU52,S-1
100025,Norma,100279,9.8,336,119,6.5,Entrepreneurship,RP-1,5,DL3,CU12,S-2
100025,Norma,1001276,9.8,336,119,6.5,Entrepreneurship,RP-1,5,DL3,CU53,S-1
100025,Norma,1001011,9.8,336,119,6.5,Entrepreneurship,RP-1,5,DL3,CU16,S-1
100025,Norma,100361,9.8,336,119,6.5,Entrepreneurship,RP-1,5,DL3,CU54,S-1
100025,Norma,1001213,9.8,336,119,6.5,Entrepreneurship,RP-1,5,DL3,CU6,S-1
100026,Louise,1001267,9.6,340,120,6.5,Computer Science,RP-1,5,DL2,CU4,S-1
100026,Louise,1001070,9.6,340,120,6.5,Computer Science,RP-1,5,DL2,CU50,S-2
100026,Louise,100409,9.6,340,120,6.5,Computer Science,RP-1,5,DL2,CU25,S-2
100026,Louise,1001168,9.6,340,120,6.5,Computer Science,RP-1,5,DL2,CU46,S-1
100026,Louise,100306,9.6,340,120,6.5,Computer Science,RP-1,5,DL2,CU31,S-1
100027,Florence,10055,8.8,322,109,8,Mechanical Engineering,RP-2,5,DL1,CU55,S-2
100027,Florence,100591,8.8,322,109,8,Mechanical Engineering,RP-2,5,DL1,CU56,S-1
100027,Florence,100251,8.8,322,109,8,Mechanical Engineering,RP-2,5,DL1,CU1,S-1
100027,Florence,100488,8.8,322,109,8,Mechanical Engineering,RP-2,5,DL1,CU30,S-1
100027,Florence,100513,8.8,322,109,8,Mechanical Engineering,RP-2,5,DL1,CU27,S-1
100028,Phyllis,100912,7.5,298,98,8.5,Mechanical Engineering,RP-1,2,DL1,CU57,S-2
100028,Phyllis,1001177,7.5,298,98,8.5,Mechanical Engineering,RP-1,2,DL1,CU58,S-1
100029,Ruby,100334,7.2,295,93,6.5,Aerospace Engineering,RP-2,1,DL1,CU59,S-1
100030,Catherine,1001131,7.3,310,99,7,Data Science,RP-2,2,DL1,CU8,S-2
100030,Catherine,100921,7.3,310,99,7,Data Science,RP-2,2,DL1,CU60,S-1
100031,Lillian,1001131,8.1,300,97,8.5,Mathematics,RP-1,2,DL1,CU8,S-2
100031,Lillian,100820,8.1,300,97,8.5,Mathematics,RP-1,2,DL1,CU26,S-1
100032,Eleanor,10028,8.3,327,103,9,Biology,RP-1,3,DL2,CU26,S-1
100032,Eleanor,1001001,8.3,327,103,9,Biology,RP-1,3,DL2,CU33,S-1
100032,Eleanor,100184,8.3,327,103,9,Biology,RP-1,3,DL2,CU61,S-1
100033,Dolores,100103,9.4,338,118,6,Information Systems,RP-1,4,DL3,CU43,S-1
100033,Dolores,100327,9.4,338,118,6,Information Systems,RP-1,4,DL3,CU20,S-2
100033,Dolores,100576,9.4,338,118,6,Information Systems,RP-1,4,DL3,CU62,S-1
100033,Dolores,1001121,9.4,338,118,6,Information Systems,RP-1,4,DL3,CU5,S-1
100034,Joyce,100541,9.6,340,114,6,Business Communication,RP-1,5,DL3,CU63,S-2
100034,Joyce,1001291,9.6,340,114,6,Business Communication,RP-1,5,DL3,CU64,S-2
100034,Joyce,1001289,9.6,340,114,6,Business Communication,RP-1,5,DL3,CU39,S-1
100034,Joyce,100451,9.6,340,114,6,Business Communication,RP-1,5,DL3,CU65,S-2
100034,Joyce,1001116,9.6,340,114,6,Business Communication,RP-1,5,DL3,CU57,S-2
100035,Annie,100673,9.8,331,112,6,Economics for Business,RP-1,5,DL3,CU66,S-1
100035,Annie,100916,9.8,331,112,6,Economics for Business,RP-1,5,DL3,CU60,S-1
100035,Annie,1001296,9.8,331,112,6,Economics for Business,RP-1,5,DL3,CU67,S-2
100035,Annie,1001287,9.8,331,112,6,Economics for Business,RP-1,5,DL3,CU28,S-1
100035,Annie,100403,9.8,331,112,6,Economics for Business,RP-1,5,DL3,CU68,S-2
100036,Gladys,100734,9.2,320,110,9,Business Communication,RP-1,5,DL3,CU60,S-2
100036,Gladys,1001163,9.2,320,110,9,Business Communication,RP-1,5,DL3,CU28,S-1
100036,Gladys,1001058,9.2,320,110,9,Business Communication,RP-1,5,DL3,CU69,S-1
100036,Gladys,1001158,9.2,320,110,9,Business Communication,RP-1,5,DL3,CU45,S-2
100036,Gladys,1001106,9.2,320,110,9,Business Communication,RP-1,5,DL3,CU70,S-1
100037,Thelma,100257,8.4,299,106,6,Biomedical Engineering,RP-2,2,DL1,CU23,S-2
100037,Thelma,1001001,8.4,299,106,6,Biomedical Engineering,RP-2,2,DL1,CU33,S-2
100038,Josephine,100784,7.8,300,105,9,Computer Science,RP-2,1,DL1,CU71,S-2
100039,Edna,100345,7.5,304,105,8.5,Electrical Engineering,RP-2,1,DL2,CU1,S-2
100040,Joan,100597,7.7,307,108,9,Management,RP-2,2,DL2,CU2,S-1
100040,Joan,100258,7.7,307,108,9,Management,RP-2,2,DL2,CU48,S-1
100041,Pauline,100956,8,308,110,8,Information Technology,RP-1,3,DL1,CU17,S-2
100041,Pauline,100980,8,308,110,8,Information Technology,RP-1,3,DL1,CU21,S-2
100041,Pauline,100904,8,308,110,8,Information Technology,RP-1,3,DL1,CU72,S-1
100042,June,100478,8.2,316,105,9,Computer Science,RP-1,2,DL1,CU73,S-1
100042,June,1001237,8.2,316,105,9,Computer Science,RP-1,2,DL1,CU39,S-2
100043,Lorraine,1001102,8.5,313,107,8.5,Leadership and Management,RP-1,2,DL3,CU58,S-1
100043,Lorraine,1001012,8.5,313,107,8.5,Leadership and Management,RP-1,2,DL3,CU50,S-1
100044,Lucille,100640,9.1,332,117,7.5,Biomedical Engineering,RP-2,4,DL1,CU42,S-2
100044,Lucille,1001272,9.1,332,117,7.5,Biomedical Engineering,RP-2,4,DL1,CU24,S-1
100044,Lucille,100985,9.1,332,117,7.5,Biomedical Engineering,RP-2,4,DL1,CU74,S-2
100044,Lucille,100609,9.1,332,117,7.5,Biomedical Engineering,RP-2,4,DL1,CU75,S-1
100045,Marilyn,100629,9.4,326,113,7,Data Science,RP-1,5,DL2,CU70,S-1
100045,Marilyn,100136,9.4,326,113,7,Data Science,RP-1,5,DL2,CU49,S-1
100045,Marilyn,100947,9.4,326,113,7,Data Science,RP-1,5,DL2,CU50,S-2
100045,Marilyn,100879,9.4,326,113,7,Data Science,RP-1,5,DL2,CU51,S-2
100045,Marilyn,100393,9.4,326,113,7,Data Science,RP-1,5,DL2,CU53,S-2
100046,Ethel,1001267,9.1,322,110,7.5,Business Communication,RP-1,5,DL3,CU4,S-2
100046,Ethel,100956,9.1,322,110,7.5,Business Communication,RP-1,5,DL3,CU17,S-1
100046,Ethel,100787,9.1,322,110,7.5,Business Communication,RP-1,5,DL3,CU59,S-2
100046,Ethel,1001035,9.1,322,110,7.5,Business Communication,RP-1,5,DL3,CU76,S-2
100046,Ethel,100795,9.1,322,110,7.5,Business Communication,RP-1,5,DL3,CU58,S-2
100047,Edith,100483,9.3,329,114,8.5,Aerospace Engineering,RP-1,5,DL1,CU51,S-1
100047,Edith,100383,9.3,329,114,8.5,Aerospace Engineering,RP-1,5,DL1,CU73,S-1
100047,Edith,100876,9.3,329,114,8.5,Aerospace Engineering,RP-1,5,DL1,CU11,S-2
100047,Edith,100274,9.3,329,114,8.5,Aerospace Engineering,RP-1,5,DL1,CU75,S-1
100047,Edith,100398,9.3,329,114,8.5,Aerospace Engineering,RP-1,5,DL1,CU57,S-2
100048,Bernice,100612,9.7,339,119,8,Mechanical Engineering,RP-2,5,DL1,CU29,S-2
100048,Bernice,1001102,9.7,339,119,8,Mechanical Engineering,RP-2,5,DL1,CU58,S-1
100048,Bernice,1001251,9.7,339,119,8,Mechanical Engineering,RP-2,5,DL1,CU72,S-2
100048,Bernice,1001294,9.7,339,119,8,Mechanical Engineering,RP-2,5,DL1,CU47,S-1
100048,Bernice,1001291,9.7,339,119,8,Mechanical Engineering,RP-2,5,DL1,CU64,S-1
100049,Grace,100648,8.85,321,110,6.5,Electrical Engineering,RP-1,3,DL1,CU61,S-1
100049,Grace,100197,8.85,321,110,6.5,Electrical Engineering,RP-1,3,DL1,CU65,S-1
100049,Grace,1001039,8.85,321,110,6.5,Electrical Engineering,RP-1,3,DL1,CU25,S-1
100050,Marion,100942,8.4,327,111,8.5,Project Management,RP-1,4,DL3,CU56,S-2
100050,Marion,1001294,8.4,327,111,8.5,Project Management,RP-1,4,DL3,CU47,S-2
100050,Marion,1001056,8.4,327,111,8.5,Project Management,RP-1,4,DL3,CU77,S-2
100050,Marion,100554,8.4,327,111,8.5,Project Management,RP-1,4,DL3,CU66,S-1
100051,Theresa,1001146,8.3,313,98,6.5,Business Ethics,RP-1,3,DL3,CU19,S-1
100051,Theresa,1001081,8.3,313,98,6.5,Business Ethics,RP-1,3,DL3,CU73,S-1
100051,Theresa,100808,8.3,313,98,6.5,Business Ethics,RP-1,3,DL3,CU50,S-2
100052,Hazel,100879,7.9,312,100,6.5,Leadership and Management,RP-1,2,DL3,CU51,S-1
100052,Hazel,1001104,7.9,312,100,6.5,Leadership and Management,RP-1,2,DL3,CU35,S-1
100053,Rita,1001237,8,334,116,9,Organizational Behavior,RP-1,4,DL3,CU39,S-1
100053,Rita,1001158,8,334,116,9,Organizational Behavior,RP-1,4,DL3,CU45,S-2
100053,Rita,100912,8,334,116,9,Organizational Behavior,RP-1,4,DL3,CU57,S-1
100053,Rita,100673,8,334,116,9,Organizational Behavior,RP-1,4,DL3,CU66,S-2
100054,Juanita,100570,8.1,324,112,6,Civil Engineering,RP-1,4,DL1,CU37,S-1
100054,Juanita,100126,8.1,324,112,6,Civil Engineering,RP-1,4,DL1,CU14,S-2
100054,Juanita,100100,8.1,324,112,6,Civil Engineering,RP-1,4,DL1,CU20,S-2
100054,Juanita,1001109,8.1,324,112,6,Civil Engineering,RP-1,4,DL1,CU78,S-2
100055,Nancy,100576,8,322,110,8.5,Cost Accounting,RP-2,3,DL3,CU62,S-2
100055,Nancy,1001095,8,322,110,8.5,Cost Accounting,RP-2,3,DL3,CU6,S-2
100055,Nancy,100274,8,322,110,8.5,Cost Accounting,RP-2,3,DL3,CU75,S-2
100056,Beverly,100875,7.7,320,103,6.5,Mechanical Engineering,RP-2,3,DL2,CU23,S-1
100056,Beverly,100987,7.7,320,103,6.5,Mechanical Engineering,RP-2,3,DL2,CU74,S-1
100056,Beverly,1001275,7.7,320,103,6.5,Mechanical Engineering,RP-2,3,DL2,CU30,S-1
100057,Geraldine,1001198,7.4,316,102,8.5,Chemistry,RP-2,3,DL2,CU13,S-2
100057,Geraldine,1001003,7.4,316,102,8.5,Chemistry,RP-2,3,DL2,CU6,S-2
100057,Geraldine,100784,7.4,316,102,8.5,Chemistry,RP-2,3,DL2,CU71,S-1
100058,Ann,100332,7.6,298,99,9,Mathematics,RP-2,2,DL1,CU48,S-2
100058,Ann,1001011,7.6,298,99,9,Mathematics,RP-2,2,DL1,CU16,S-2
100059,Jane,100329,6.8,300,99,6.5,International Business,RP-1,1,DL3,CU79,S-1
100060,Sarah,100741,8.3,311,104,8.5,Business Communication,RP-2,2,DL3,CU48,S-2
100060,Sarah,1001113,8.3,311,104,8.5,Business Communication,RP-2,2,DL3,CU76,S-2
100061,Audrey,100102,8.1,309,100,6.5,Finance,RP-2,2,DL2,CU80,S-2
100061,Audrey,1001123,8.1,309,100,6.5,Finance,RP-2,2,DL2,CU57,S-1
100062,Clara,1001266,8.2,307,101,9,Quantitative Analysis for Business,RP-2,3,DL3,CU4,S-1
100062,Clara,100377,8.2,307,101,9,Quantitative Analysis for Business,RP-2,3,DL3,CU65,S-2
100062,Clara,100444,8.2,307,101,9,Quantitative Analysis for Business,RP-2,3,DL3,CU70,S-2
100063,Esther,100956,8.2,304,105,7,Accounting,RP-1,2,DL2,CU17,S-1
100063,Esther,100810,8.2,304,105,7,Accounting,RP-1,2,DL2,CU29,S-2
100064,Emma,100669,8.5,315,107,9,Sociology,RP-1,2,DL2,CU81,S-2
100064,Emma,1001065,8.5,315,107,9,Sociology,RP-1,2,DL2,CU11,S-1
100065,Wanda,100734,8.7,325,111,8,International Business,RP-2,3,DL3,CU60,S-1
100065,Wanda,100481,8.7,325,111,8,International Business,RP-2,3,DL3,CU52,S-1
100065,Wanda,100294,8.7,325,111,8,International Business,RP-2,3,DL3,CU74,S-1
100066,Beatrice,100834,8.92,325,112,8.5,Information Systems,RP-2,4,DL3,CU77,S-2
100066,Beatrice,100576,8.92,325,112,8.5,Information Systems,RP-2,4,DL3,CU62,S-1
100066,Beatrice,1001168,8.92,325,112,8.5,Information Systems,RP-2,4,DL3,CU46,S-2
100066,Beatrice,1001125,8.92,325,112,8.5,Information Systems,RP-2,4,DL3,CU82,S-1
100067,Wilma,1001202,9.02,327,114,6,Management,RP-2,3,DL2,CU25,S-2
100067,Wilma,100379,9.02,327,114,6,Management,RP-2,3,DL2,CU83,S-1
100067,Wilma,100140,9.02,327,114,6,Management,RP-2,3,DL2,CU37,S-1
100068,Elaine,100942,8.64,316,107,8.5,Statistics,RP-1,2,DL1,CU56,S-1
100068,Elaine,100332,8.64,316,107,8.5,Statistics,RP-1,2,DL1,CU48,S-1
100069,Donna,1001156,9.22,318,109,8.5,Philosophy,RP-1,3,DL2,CU36,S-2
100069,Donna,100583,9.22,318,109,8.5,Philosophy,RP-1,3,DL2,CU15,S-1
100069,Donna,1001160,9.22,318,109,8.5,Philosophy,RP-1,3,DL2,CU84,S-1
100070,Willie,1001298,9.16,328,115,7,Biology,RP-1,4,DL2,CU11,S-2
100070,Willie,1001011,9.16,328,115,7,Biology,RP-1,4,DL2,CU16,S-1
100070,Willie,100921,9.16,328,115,7,Biology,RP-1,4,DL2,CU60,S-2
100070,Willie,1001058,9.16,328,115,7,Biology,RP-1,4,DL2,CU69,S-1
100071,Elsie,1001289,9.64,332,118,8.5,Mathematics,RP-1,5,DL1,CU39,S-1
100071,Elsie,10072,9.64,332,118,8.5,Mathematics,RP-1,5,DL1,CU74,S-1
100071,Elsie,100591,9.64,332,118,8.5,Mathematics,RP-1,5,DL1,CU56,S-2
100071,Elsie,100296,9.64,332,118,8.5,Mathematics,RP-1,5,DL1,CU85,S-1
100071,Elsie,1001097,9.64,332,118,8.5,Mathematics,RP-1,5,DL1,CU44,S-2
100072,Katherine,1001243,9.76,336,112,7,History,RP-1,5,DL2,CU11,S-1
100072,Katherine,1001054,9.76,336,112,7,History,RP-1,5,DL2,CU23,S-1
100072,Katherine,100597,9.76,336,112,7,History,RP-1,5,DL2,CU2,S-1
100072,Katherine,1001160,9.76,336,112,7,History,RP-1,5,DL2,CU84,S-2
100072,Katherine,100485,9.76,336,112,7,History,RP-1,5,DL2,CU49,S-2
100073,Marian,100296,9.45,321,111,7.5,Computer Science,RP-1,5,DL1,CU85,S-1
100073,Marian,100665,9.45,321,111,7.5,Computer Science,RP-1,5,DL1,CU12,S-1
100073,Marian,1001259,9.45,321,111,7.5,Computer Science,RP-1,5,DL1,CU38,S-1
100073,Marian,100626,9.45,321,111,7.5,Computer Science,RP-1,5,DL1,CU79,S-2
100073,Marian,100470,9.45,321,111,7.5,Computer Science,RP-1,5,DL1,CU71,S-1
100074,Charlotte,100889,9.04,314,108,7.5,Mathematics,RP-1,4,DL1,CU21,S-1
100074,Charlotte,100994,9.04,314,108,7.5,Mathematics,RP-1,4,DL1,CU86,S-1
100074,Charlotte,100519,9.04,314,108,7.5,Mathematics,RP-1,4,DL1,CU32,S-2
100074,Charlotte,100669,9.04,314,108,7.5,Mathematics,RP-1,4,DL1,CU81,S-1
100075,Julia,100553,8.9,314,106,6.5,Cost Accounting,RP-2,3,DL3,CU79,S-1
100075,Julia,10057,8.9,314,106,6.5,Cost Accounting,RP-2,3,DL3,CU73,S-1
100075,Julia,100114,8.9,314,106,6.5,Cost Accounting,RP-2,3,DL3,CU54,S-1
100076,Vivian,100131,8.56,329,114,7.5,Operations Management,RP-1,2,DL3,CU87,S-1
100076,Vivian,1001292,8.56,329,114,7.5,Operations Management,RP-1,2,DL3,CU58,S-2
100077,Gertrude,1001294,8.72,327,112,7.5,Biomedical Engineering,RP-1,3,DL1,CU47,S-2
100077,Gertrude,1001298,8.72,327,112,7.5,Biomedical Engineering,RP-1,3,DL1,CU11,S-2
100077,Gertrude,1001160,8.72,327,112,7.5,Biomedical Engineering,RP-1,3,DL1,CU84,S-1
100078,Eva,10039,8.22,301,99,8,Philosophy,RP-2,2,DL2,CU55,S-1
100078,Eva,100991,8.22,301,99,8,Philosophy,RP-2,2,DL2,CU78,S-2
100079,Bertha,100289,7.54,296,95,7.5,Anthropology,RP-1,2,DL2,CU55,S-2
100079,Bertha,100114,7.54,296,95,7.5,Anthropology,RP-1,2,DL2,CU54,S-2
100080,Agnes,100998,7.36,294,93,7,Cost Accounting,RP-2,1,DL3,CU88,S-2
100081,Laura,100817,8.02,312,105,6,Aerospace Engineering,RP-1,3,DL1,CU74,S-2
100081,Laura,1001088,8.02,312,105,6,Aerospace Engineering,RP-1,3,DL1,CU31,S-1
100081,Laura,100583,8.02,312,105,6,Aerospace Engineering,RP-1,3,DL1,CU15,S-1
100082,Kathleen,100716,9.5,340,120,8,Economics for Business,RP-1,4,DL3,CU89,S-1
100082,Kathleen,100992,9.5,340,120,8,Economics for Business,RP-1,4,DL3,CU68,S-2
100082,Kathleen,1001240,9.5,340,120,8,Economics for Business,RP-1,4,DL3,CU6,S-1
100082,Kathleen,1001237,9.5,340,120,8,Economics for Business,RP-1,4,DL3,CU39,S-1
100083,Ida,100441,9.22,320,110,8,Cost Accounting,RP-1,5,DL3,CU9,S-1
100083,Ida,100399,9.22,320,110,8,Cost Accounting,RP-1,5,DL3,CU35,S-2
100083,Ida,1001290,9.22,320,110,8,Cost Accounting,RP-1,5,DL3,CU90,S-2
100083,Ida,100803,9.22,320,110,8,Cost Accounting,RP-1,5,DL3,CU6,S-1
100083,Ida,100353,9.22,320,110,8,Cost Accounting,RP-1,5,DL3,CU41,S-2
100084,Jeanne,1001255,9.36,322,115,8.5,Corporate Finance,RP-1,5,DL3,CU38,S-1
100084,Jeanne,100941,9.36,322,115,8.5,Corporate Finance,RP-1,5,DL3,CU28,S-2
100084,Jeanne,100691,9.36,322,115,8.5,Corporate Finance,RP-1,5,DL3,CU52,S-1
100084,Jeanne,1001137,9.36,322,115,8.5,Corporate Finance,RP-1,5,DL3,CU91,S-1
100084,Jeanne,100948,9.36,322,115,8.5,Corporate Finance,RP-1,5,DL3,CU49,S-2
100085,Rosemary,100443,9.45,340,115,6,Quantitative Analysis for Business,RP-1,5,DL3,CU43,S-2
100085,Rosemary,100665,9.45,340,115,6,Quantitative Analysis for Business,RP-1,5,DL3,CU12,S-1
100085,Rosemary,100477,9.45,340,115,6,Quantitative Analysis for Business,RP-1,5,DL3,CU48,S-1
100085,Rosemary,100404,9.45,340,115,6,Quantitative Analysis for Business,RP-1,5,DL3,CU92,S-2
100085,Rosemary,10085,9.45,340,115,6,Quantitative Analysis for Business,RP-1,5,DL3,CU65,S-1
100086,Maxine,1001012,8.66,319,103,6.5,Data Science,RP-2,4,DL1,CU50,S-1
100086,Maxine,1001071,8.66,319,103,6.5,Data Science,RP-2,4,DL1,CU51,S-2
100086,Maxine,100369,8.66,319,103,6.5,Data Science,RP-2,4,DL1,CU93,S-1
100086,Maxine,100570,8.66,319,103,6.5,Data Science,RP-2,4,DL1,CU37,S-1
100087,Bessie,100666,8.42,315,106,9,Quantitative Analysis for Business,RP-2,3,DL3,CU89,S-1
100087,Bessie,100824,8.42,315,106,9,Quantitative Analysis for Business,RP-2,3,DL3,CU92,S-2
100087,Bessie,10057,8.42,315,106,9,Quantitative Analysis for Business,RP-2,3,DL3,CU73,S-2
100088,Vera,100808,8.28,317,107,7,Corporate Finance,RP-2,2,DL3,CU50,S-1
100088,Vera,100926,8.28,317,107,7,Corporate Finance,RP-2,2,DL3,CU42,S-1
100089,Kathryn,100594,8.14,314,108,8.5,Chemistry,RP-2,3,DL2,CU73,S-1
100089,Kathryn,1001156,8.14,314,108,8.5,Chemistry,RP-2,3,DL2,CU36,S-1
100089,Kathryn,100576,8.14,314,108,8.5,Chemistry,RP-2,3,DL2,CU62,S-2
100090,Anne,100655,8.76,316,109,7,Quantitative Analysis for Business,RP-1,4,DL3,CU21,S-1
